Store,Handbag Type,Color,Material,Size,Manufacturing City,Lead Time (Days),Shipping Time (Days),Total Lead Time (Days),Season,Base Demand,Adjusted Demand,Stock Level,Overfill/Underfill
Rodeo Drive,McGraw Tote,Metallic,Jacquard,Large,Ho Chi Minh City,36,17,53,Fall,244,268,17,-251
The Galleria,Kira Chevron Tote,Yellow,Jacquard,Small,Hanoi,31,18,49,Summer,240,240,250,10
NorthPark Center,T Monogram Tote,Brown,Coated Canvas,Small,Guangzhou,46,16,62,Spring,231,277,250,-27
El Palacio de Hierro (Polanco),T Monogram Tote,Brown,Pebbled Leather,Small,Shenzhen,48,15,63,Winter,185,148,105,-43
South Coast Plaza,Ella Tote,Gray,Canvas,Medium,Ho Chi Minh City,31,14,45,Fall,109,119,76,-43
Pacific Centre,Britten Tote,Yellow,Jacquard,Mini,Ho Chi Minh City,31,15,46,Winter,261,208,203,-5
Madison Avenue,McGraw Tote,Red,Jacquard,Mini,Hanoi,44,14,58,Summer,206,206,124,-82
San Francisco Centre,Ella Tote,Brown,Jacquard,Large,Guangzhou,40,16,56,Fall,246,270,87,-183
El Palacio de Hierro (Polanco),McGraw Tote,Pink,Coated Canvas,Mini,Guangzhou,33,18,51,Spring,298,357,54,-303
Soho,Perry Tote,White,Pebbled Leather,Medium,Shenzhen,36,16,52,Summer,121,121,156,35
Westfield World Trade Center,Kira Chevron Tote,Gray,Canvas,Large,Shenzhen,48,17,65,Fall,189,207,78,-129
San Francisco Centre,T Monogram Tote,Metallic,Coated Canvas,Large,Hanoi,40,14,54,Summer,221,221,231,10
Bal Harbour Shops,Ella Tote,Gray,Pebbled Leather,Large,Da Nang,35,18,53,Spring,243,291,319,28
Oak Street,Perry Tote,Pink,Pebbled Leather,Small,Hanoi,45,16,61,Winter,192,153,20,-133
Madison Avenue,Ella Tote,Brown,Canvas,Mini,Ho Chi Minh City,37,18,55,Spring,126,151,51,-100
El Palacio de Hierro (Santa Fe),Britten Tote,Multi,Leather,Small,Ho Chi Minh City,40,17,57,Fall,130,143,31,-112
Pacific Centre,Kira Chevron Tote,Pink,Coated Canvas,Medium,Ho Chi Minh City,48,16,64,Spring,258,309,296,-13
El Palacio de Hierro (Santa Fe),Kira Chevron Tote,Red,Jacquard,Medium,Da Nang,47,17,64,Fall,238,261,306,45
Soho,McGraw Tote,Red,Jacquard,Medium,Shenzhen,37,14,51,Winter,157,125,74,-51
Madison Avenue,Ella Tote,Black,Jacquard,Mini,Ho Chi Minh City,38,15,53,Fall,248,272,275,3
Madison Avenue,Perry Tote,Gray,Pebbled Leather,Large,Hanoi,43,16,59,Fall,57,62,40,-22
El Palacio de Hierro (Santa Fe),McGraw Tote,Black,Leather,Medium,Hanoi,37,16,53,Spring,167,200,3,-197
Westfield World Trade Center,Kira Chevron Tote,Red,Jacquard,Large,Guangzhou,44,17,61,Spring,67,80,98,18
Rodeo Drive,Robinson Tote,Brown,Pebbled Leather,Mini,Guangzhou,46,17,63,Winter,210,168,66,-102
El Palacio de Hierro (Santa Fe),McGraw Tote,Metallic,Jacquard,Medium,Guangzhou,44,14,58,Summer,75,75,42,-33
Bal Harbour Shops,Robinson Tote,Green,Pebbled Leather,Medium,Guangzhou,46,17,63,Spring,237,284,96,-188
El Palacio de Hierro (Santa Fe),Perry Tote,Pink,Canvas,Large,Da Nang,36,18,54,Fall,80,88,70,-18
South Coast Plaza,Robinson Tote,Beige,Canvas,Mini,Hanoi,46,18,64,Winter,280,224,181,-43
El Palacio de Hierro (Santa Fe),Kira Chevron Tote,Multi,Pebbled Leather,Mini,Hanoi,47,18,65,Spring,130,156,83,-73
Bal Harbour Shops,Britten Tote,Pink,Pebbled Leather,Small,Hanoi,30,18,48,Spring,190,228,250,22
The Galleria,Britten Tote,Purple,Pebbled Leather,Medium,Hanoi,50,15,65,Fall,182,200,215,15
Yorkdale Shopping Centre,Britten Tote,Pink,Pebbled Leather,Mini,Ho Chi Minh City,38,17,55,Fall,72,79,119,40
Soho,Gemini Link Tote,Beige,Canvas,Medium,Da Nang,42,18,60,Spring,299,358,396,38
Madison Avenue,Britten Tote,Metallic,Canvas,Medium,Ho Chi Minh City,30,14,44,Spring,143,171,148,-23
Yorkdale Shopping Centre,McGraw Tote,Brown,Coated Canvas,Mini,Shenzhen,47,18,65,Fall,179,196,151,-45
Soho,Kira Chevron Tote,Yellow,Jacquard,Mini,Shenzhen,30,16,46,Fall,181,199,100,-99
El Palacio de Hierro (Santa Fe),Perry Tote,Brown,Canvas,Large,Da Nang,32,17,49,Winter,193,154,188,34
Pacific Centre,Gemini Link Tote,Purple,Pebbled Leather,Medium,Da Nang,34,16,50,Fall,186,204,220,16
Rodeo Drive,Perry Tote,Gray,Canvas,Mini,Shenzhen,46,18,64,Summer,51,51,92,41
Bal Harbour Shops,Robinson Tote,Pink,Leather,Small,Ho Chi Minh City,46,16,62,Fall,192,211,194,-17
NorthPark Center,McGraw Tote,Pink,Coated Canvas,Medium,Shenzhen,30,16,46,Summer,266,266,102,-164
El Palacio de Hierro (Polanco),Robinson Tote,Multi,Leather,Large,Da Nang,44,14,58,Summer,149,149,83,-66
Westfield World Trade Center,Perry Tote,Pink,Pebbled Leather,Small,Da Nang,41,18,59,Fall,228,250,28,-222
Madison Avenue,Britten Tote,Metallic,Leather,Large,Shenzhen,33,14,47,Spring,208,249,77,-172
El Palacio de Hierro (Santa Fe),T Monogram Tote,Gray,Canvas,Medium,Guangzhou,48,18,66,Summer,225,225,156,-69
El Palacio de Hierro (Santa Fe),Britten Tote,Pink,Leather,Small,Da Nang,49,14,63,Winter,289,231,29,-202
El Palacio de Hierro (Polanco),Robinson Tote,Pink,Leather,Medium,Ho Chi Minh City,40,15,55,Summer,84,84,40,-44
San Francisco Centre,T Monogram Tote,Multi,Canvas,Mini,Guangzhou,30,16,46,Fall,284,312,134,-178
Bal Harbour Shops,McGraw Tote,Pink,Canvas,Mini,Da Nang,31,17,48,Winter,119,95,52,-43
Soho,McGraw Tote,Gray,Canvas,Mini,Guangzhou,37,18,55,Winter,109,87,115,28
Bal Harbour Shops,Perry Tote,Black,Pebbled Leather,Mini,Hanoi,32,14,46,Winter,158,126,105,-21
Madison Avenue,Ella Tote,Purple,Jacquard,Medium,Ho Chi Minh City,34,18,52,Winter,129,103,45,-58
San Francisco Centre,T Monogram Tote,Multi,Leather,Mini,Shenzhen,40,17,57,Fall,266,292,297,5
Yorkdale Shopping Centre,Robinson Tote,Beige,Leather,Mini,Ho Chi Minh City,32,17,49,Spring,289,346,248,-98
El Palacio de Hierro (Polanco),Robinson Tote,Blue,Canvas,Medium,Guangzhou,36,16,52,Winter,169,135,25,-110
Oak Street,Perry Tote,Yellow,Jacquard,Mini,Hanoi,42,16,58,Summer,203,203,193,-10
Westfield World Trade Center,Perry Tote,White,Coated Canvas,Small,Shenzhen,47,14,61,Summer,285,285,161,-124
NorthPark Center,Kira Chevron Tote,Multi,Pebbled Leather,Medium,Da Nang,48,14,62,Winter,52,41,38,-3
San Francisco Centre,Kira Chevron Tote,Gray,Leather,Medium,Shenzhen,41,17,58,Fall,279,306,221,-85
San Francisco Centre,Britten Tote,Green,Pebbled Leather,Large,Guangzhou,45,16,61,Summer,273,273,74,-199
Soho,Britten Tote,Metallic,Canvas,Medium,Shenzhen,37,14,51,Summer,58,58,67,9
Westfield World Trade Center,Perry Tote,Blue,Jacquard,Small,Da Nang,50,18,68,Spring,152,182,142,-40
Westfield World Trade Center,Ella Tote,Pink,Coated Canvas,Large,Guangzhou,39,18,57,Fall,98,107,107,0
Aventura Mall,Gemini Link Tote,Metallic,Leather,Small,Da Nang,38,16,54,Spring,139,166,149,-17
Rodeo Drive,T Monogram Tote,Purple,Leather,Small,Hanoi,41,14,55,Spring,136,163,158,-5
Bal Harbour Shops,Perry Tote,Red,Canvas,Medium,Da Nang,39,18,57,Spring,169,202,28,-174
The Galleria,Britten Tote,Beige,Pebbled Leather,Large,Da Nang,50,16,66,Fall,112,123,38,-85
Pacific Centre,Gemini Link Tote,Green,Jacquard,Large,Ho Chi Minh City,34,18,52,Fall,84,92,53,-39
Aventura Mall,Gemini Link Tote,Yellow,Coated Canvas,Mini,Hanoi,43,15,58,Summer,68,68,87,19
Aventura Mall,Gemini Link Tote,Red,Canvas,Medium,Hanoi,48,16,64,Spring,143,171,100,-71
Westfield World Trade Center,Britten Tote,Beige,Leather,Medium,Ho Chi Minh City,46,17,63,Winter,224,179,124,-55
Yorkdale Shopping Centre,T Monogram Tote,Brown,Jacquard,Small,Ho Chi Minh City,48,18,66,Winter,166,132,141,9
El Palacio de Hierro (Polanco),T Monogram Tote,Purple,Leather,Large,Shenzhen,39,17,56,Winter,197,157,12,-145
El Palacio de Hierro (Polanco),T Monogram Tote,Brown,Jacquard,Large,Da Nang,42,16,58,Fall,246,270,2,-268
The Galleria,Kira Chevron Tote,Blue,Leather,Medium,Da Nang,37,16,53,Spring,276,331,42,-289
Madison Avenue,Gemini Link Tote,Red,Jacquard,Small,Da Nang,44,18,62,Summer,244,244,217,-27
South Coast Plaza,Robinson Tote,Gray,Canvas,Medium,Da Nang,49,14,63,Spring,160,192,60,-132
Madison Avenue,Kira Chevron Tote,Beige,Jacquard,Mini,Da Nang,32,14,46,Fall,280,308,304,-4
San Francisco Centre,Perry Tote,Yellow,Canvas,Large,Da Nang,31,15,46,Fall,234,257,265,8
Pacific Centre,Kira Chevron Tote,White,Canvas,Mini,Da Nang,48,16,64,Winter,232,185,24,-161
NorthPark Center,McGraw Tote,Black,Jacquard,Small,Ho Chi Minh City,35,17,52,Spring,60,72,21,-51
Soho,Perry Tote,Green,Leather,Large,Hanoi,35,18,53,Summer,253,253,5,-248
The Galleria,McGraw Tote,Purple,Jacquard,Large,Ho Chi Minh City,43,15,58,Spring,84,100,133,33
Pacific Centre,Ella Tote,Blue,Leather,Large,Hanoi,50,14,64,Winter,52,41,36,-5
Bal Harbour Shops,Kira Chevron Tote,Black,Coated Canvas,Small,Guangzhou,35,15,50,Winter,263,210,201,-9
Westfield World Trade Center,Ella Tote,Purple,Leather,Mini,Hanoi,37,16,53,Summer,244,244,78,-166
South Coast Plaza,Britten Tote,Pink,Pebbled Leather,Mini,Ho Chi Minh City,43,16,59,Winter,137,109,153,44
Rodeo Drive,Perry Tote,Red,Coated Canvas,Large,Hanoi,50,18,68,Spring,289,346,332,-14
El Palacio de Hierro (Polanco),Kira Chevron Tote,Red,Jacquard,Mini,Shenzhen,31,15,46,Spring,214,256,200,-56
Oak Street,Kira Chevron Tote,Brown,Leather,Small,Shenzhen,47,14,61,Spring,73,87,103,16
The Galleria,Perry Tote,Purple,Coated Canvas,Small,Shenzhen,33,14,47,Winter,197,157,96,-61
San Francisco Centre,Gemini Link Tote,Green,Leather,Small,Ho Chi Minh City,47,18,65,Spring,272,326,363,37
Yorkdale Shopping Centre,Gemini Link Tote,Gray,Pebbled Leather,Large,Ho Chi Minh City,49,16,65,Winter,292,233,108,-125
NorthPark Center,Kira Chevron Tote,Gray,Pebbled Leather,Medium,Guangzhou,39,17,56,Spring,66,79,39,-40
Westfield World Trade Center,Britten Tote,Gray,Pebbled Leather,Medium,Guangzhou,42,14,56,Winter,222,177,71,-106
Rodeo Drive,McGraw Tote,Black,Leather,Small,Hanoi,31,17,48,Fall,61,67,12,-55
San Francisco Centre,Britten Tote,Yellow,Jacquard,Mini,Shenzhen,50,14,64,Spring,239,286,83,-203
Rodeo Drive,Perry Tote,Metallic,Jacquard,Small,Da Nang,30,17,47,Summer,189,189,54,-135
Rodeo Drive,Ella Tote,Pink,Jacquard,Mini,Guangzhou,38,18,56,Winter,289,231,130,-101
Madison Avenue,Ella Tote,Gray,Canvas,Small,Shenzhen,44,17,61,Fall,66,72,31,-41
Yorkdale Shopping Centre,Ella Tote,Pink,Pebbled Leather,Medium,Da Nang,38,16,54,Summer,159,159,85,-74
Bal Harbour Shops,Robinson Tote,Purple,Canvas,Small,Hanoi,49,15,64,Winter,134,107,38,-69
Pacific Centre,T Monogram Tote,Black,Coated Canvas,Large,Da Nang,30,15,45,Spring,252,302,30,-272
El Palacio de Hierro (Polanco),Robinson Tote,Red,Canvas,Mini,Da Nang,30,16,46,Winter,133,106,143,37
Oak Street,McGraw Tote,Green,Pebbled Leather,Small,Da Nang,42,18,60,Winter,266,212,123,-89
San Francisco Centre,Britten Tote,Black,Coated Canvas,Small,Da Nang,44,17,61,Fall,213,234,15,-219
Oak Street,Robinson Tote,Green,Canvas,Small,Hanoi,38,16,54,Spring,266,319,175,-144
The Galleria,Perry Tote,Brown,Jacquard,Mini,Da Nang,44,18,62,Summer,67,67,106,39
The Galleria,Britten Tote,Red,Canvas,Mini,Hanoi,45,16,61,Summer,217,217,248,31
NorthPark Center,Kira Chevron Tote,Multi,Leather,Large,Da Nang,36,16,52,Spring,176,211,197,-14
El Palacio de Hierro (Santa Fe),McGraw Tote,Blue,Pebbled Leather,Mini,Hanoi,48,18,66,Summer,160,160,132,-28
Bal Harbour Shops,Gemini Link Tote,Beige,Coated Canvas,Mini,Shenzhen,37,17,54,Summer,152,152,137,-15
Westfield World Trade Center,Britten Tote,Beige,Leather,Mini,Guangzhou,41,18,59,Summer,139,139,20,-119
El Palacio de Hierro (Santa Fe),Gemini Link Tote,Brown,Canvas,Medium,Guangzhou,33,14,47,Summer,72,72,62,-10
Madison Avenue,Robinson Tote,Blue,Leather,Small,Hanoi,39,14,53,Winter,128,102,128,26
NorthPark Center,Britten Tote,Metallic,Pebbled Leather,Mini,Da Nang,49,14,63,Summer,95,95,110,15
The Galleria,Gemini Link Tote,White,Leather,Mini,Ho Chi Minh City,45,16,61,Fall,99,108,34,-74
Bal Harbour Shops,Britten Tote,Black,Leather,Small,Ho Chi Minh City,40,16,56,Fall,294,323,147,-176
Westfield World Trade Center,Kira Chevron Tote,Red,Coated Canvas,Small,Da Nang,36,18,54,Fall,202,222,187,-35
Madison Avenue,Robinson Tote,Multi,Pebbled Leather,Large,Shenzhen,33,15,48,Spring,284,340,117,-223
El Palacio de Hierro (Santa Fe),Gemini Link Tote,Beige,Pebbled Leather,Small,Guangzhou,43,16,59,Fall,140,154,180,26
Oak Street,Gemini Link Tote,Multi,Coated Canvas,Small,Da Nang,31,14,45,Fall,166,182,120,-62
Yorkdale Shopping Centre,Britten Tote,Gray,Coated Canvas,Small,Shenzhen,50,17,67,Winter,66,52,4,-48
The Galleria,McGraw Tote,Yellow,Coated Canvas,Mini,Da Nang,50,18,68,Fall,61,67,70,3
Westfield World Trade Center,Robinson Tote,Green,Leather,Mini,Ho Chi Minh City,41,16,57,Winter,76,60,7,-53
Aventura Mall,Britten Tote,White,Leather,Medium,Guangzhou,49,16,65,Fall,107,117,100,-17
South Coast Plaza,Robinson Tote,Pink,Jacquard,Medium,Da Nang,30,17,47,Spring,192,230,83,-147
Soho,McGraw Tote,Beige,Canvas,Medium,Ho Chi Minh City,48,16,64,Spring,181,217,40,-177
Westfield World Trade Center,Gemini Link Tote,Red,Pebbled Leather,Small,Ho Chi Minh City,41,14,55,Winter,126,100,95,-5
Yorkdale Shopping Centre,Ella Tote,White,Jacquard,Mini,Ho Chi Minh City,45,14,59,Winter,293,234,159,-75
Yorkdale Shopping Centre,Perry Tote,Pink,Canvas,Small,Da Nang,36,16,52,Spring,149,178,102,-76
Madison Avenue,Britten Tote,Metallic,Coated Canvas,Mini,Hanoi,42,18,60,Winter,257,205,90,-115
El Palacio de Hierro (Polanco),Perry Tote,Beige,Coated Canvas,Mini,Hanoi,47,15,62,Winter,170,136,164,28
Rodeo Drive,Britten Tote,Beige,Coated Canvas,Mini,Da Nang,42,17,59,Spring,147,176,19,-157
Pacific Centre,Perry Tote,Beige,Jacquard,Large,Ho Chi Minh City,42,15,57,Summer,206,206,222,16
Pacific Centre,Gemini Link Tote,Yellow,Jacquard,Medium,Guangzhou,48,17,65,Spring,132,158,170,12
Soho,Perry Tote,Multi,Pebbled Leather,Large,Da Nang,49,16,65,Winter,278,222,33,-189
Madison Avenue,Ella Tote,Yellow,Leather,Mini,Guangzhou,46,15,61,Fall,230,253,180,-73
NorthPark Center,Kira Chevron Tote,Gray,Jacquard,Small,Hanoi,31,18,49,Winter,190,152,41,-111
Bal Harbour Shops,Britten Tote,Beige,Pebbled Leather,Medium,Da Nang,49,16,65,Winter,226,180,84,-96
Bal Harbour Shops,McGraw Tote,Blue,Canvas,Mini,Shenzhen,39,15,54,Winter,283,226,233,7
Madison Avenue,McGraw Tote,Green,Canvas,Large,Shenzhen,32,16,48,Summer,50,50,63,13
Aventura Mall,Kira Chevron Tote,Pink,Coated Canvas,Medium,Guangzhou,43,17,60,Fall,205,225,83,-142
The Galleria,Kira Chevron Tote,Gray,Jacquard,Mini,Hanoi,34,15,49,Spring,285,342,52,-290
Yorkdale Shopping Centre,T Monogram Tote,White,Pebbled Leather,Mini,Guangzhou,32,14,46,Winter,70,56,54,-2
NorthPark Center,Britten Tote,Brown,Canvas,Medium,Shenzhen,48,14,62,Spring,213,255,150,-105
Oak Street,Ella Tote,Purple,Leather,Small,Da Nang,35,18,53,Fall,261,287,283,-4
Yorkdale Shopping Centre,Perry Tote,Purple,Jacquard,Medium,Ho Chi Minh City,36,14,50,Winter,266,212,140,-72
Soho,McGraw Tote,Beige,Canvas,Medium,Ho Chi Minh City,47,16,63,Summer,93,93,61,-32
Oak Street,Perry Tote,Pink,Canvas,Large,Shenzhen,50,18,68,Winter,137,109,46,-63
Aventura Mall,Perry Tote,Blue,Jacquard,Small,Guangzhou,34,15,49,Summer,113,113,23,-90
Oak Street,Britten Tote,Multi,Canvas,Mini,Ho Chi Minh City,47,17,64,Fall,179,196,229,33
Oak Street,T Monogram Tote,Brown,Coated Canvas,Large,Hanoi,46,15,61,Fall,215,236,138,-98
San Francisco Centre,Perry Tote,Green,Canvas,Small,Shenzhen,34,18,52,Summer,290,290,122,-168
Pacific Centre,Gemini Link Tote,Gray,Canvas,Large,Ho Chi Minh City,47,17,64,Fall,107,117,113,-4
El Palacio de Hierro (Santa Fe),Robinson Tote,Gray,Pebbled Leather,Mini,Ho Chi Minh City,42,14,56,Summer,138,138,136,-2
El Palacio de Hierro (Santa Fe),Kira Chevron Tote,Yellow,Leather,Large,Shenzhen,34,15,49,Winter,219,175,204,29
NorthPark Center,McGraw Tote,Purple,Pebbled Leather,Small,Guangzhou,41,17,58,Summer,290,290,155,-135
NorthPark Center,Ella Tote,Blue,Jacquard,Large,Hanoi,38,17,55,Fall,96,105,68,-37
The Galleria,Kira Chevron Tote,Pink,Leather,Small,Hanoi,50,18,68,Spring,112,134,19,-115
El Palacio de Hierro (Polanco),T Monogram Tote,Black,Leather,Medium,Ho Chi Minh City,30,16,46,Summer,85,85,44,-41
Aventura Mall,Robinson Tote,Gray,Pebbled Leather,Large,Hanoi,39,14,53,Spring,246,295,207,-88
Madison Avenue,T Monogram Tote,Pink,Leather,Small,Shenzhen,31,18,49,Summer,268,268,221,-47
Bal Harbour Shops,Perry Tote,Yellow,Canvas,Medium,Ho Chi Minh City,42,14,56,Fall,278,305,89,-216
NorthPark Center,Gemini Link Tote,Blue,Coated Canvas,Mini,Shenzhen,40,17,57,Spring,164,196,49,-147
The Galleria,McGraw Tote,Red,Canvas,Medium,Guangzhou,41,17,58,Summer,69,69,63,-6
Oak Street,T Monogram Tote,Purple,Coated Canvas,Large,Da Nang,34,16,50,Winter,241,192,26,-166
San Francisco Centre,Britten Tote,Beige,Leather,Mini,Da Nang,50,14,64,Spring,82,98,55,-43
Westfield World Trade Center,Ella Tote,Gray,Canvas,Small,Hanoi,44,18,62,Winter,258,206,116,-90
The Galleria,McGraw Tote,Black,Pebbled Leather,Small,Shenzhen,33,18,51,Winter,222,177,156,-21
Yorkdale Shopping Centre,Robinson Tote,Red,Jacquard,Small,Shenzhen,36,16,52,Winter,59,47,96,49
Soho,Kira Chevron Tote,Yellow,Leather,Small,Ho Chi Minh City,33,14,47,Fall,72,79,36,-43
Pacific Centre,McGraw Tote,Blue,Leather,Small,Ho Chi Minh City,40,18,58,Winter,132,105,105,0
Rodeo Drive,Ella Tote,Green,Pebbled Leather,Large,Ho Chi Minh City,39,14,53,Winter,80,64,10,-54
Yorkdale Shopping Centre,Robinson Tote,Blue,Coated Canvas,Medium,Ho Chi Minh City,34,15,49,Spring,166,199,75,-124
San Francisco Centre,Britten Tote,Gray,Coated Canvas,Small,Da Nang,46,18,64,Spring,97,116,68,-48
El Palacio de Hierro (Santa Fe),Gemini Link Tote,Pink,Leather,Medium,Shenzhen,49,18,67,Spring,132,158,197,39
San Francisco Centre,Ella Tote,Yellow,Leather,Large,Ho Chi Minh City,48,18,66,Summer,235,235,260,25
Oak Street,Ella Tote,Beige,Coated Canvas,Large,Ho Chi Minh City,48,15,63,Fall,259,284,158,-126
NorthPark Center,Kira Chevron Tote,Red,Pebbled Leather,Mini,Da Nang,34,16,50,Summer,155,155,145,-10
Madison Avenue,McGraw Tote,Red,Leather,Medium,Ho Chi Minh City,48,17,65,Spring,194,232,45,-187
South Coast Plaza,Gemini Link Tote,Multi,Leather,Medium,Hanoi,35,15,50,Spring,151,181,142,-39
Soho,T Monogram Tote,Blue,Jacquard,Medium,Ho Chi Minh City,49,16,65,Fall,176,193,155,-38
Pacific Centre,Perry Tote,Purple,Pebbled Leather,Mini,Da Nang,34,17,51,Summer,173,173,16,-157
Pacific Centre,McGraw Tote,Blue,Jacquard,Small,Shenzhen,41,16,57,Summer,217,217,114,-103
Bal Harbour Shops,Gemini Link Tote,Green,Pebbled Leather,Mini,Hanoi,48,16,64,Winter,91,72,84,12
El Palacio de Hierro (Polanco),McGraw Tote,Multi,Pebbled Leather,Medium,Ho Chi Minh City,39,18,57,Fall,277,304,135,-169
Pacific Centre,McGraw Tote,Black,Canvas,Small,Shenzhen,38,16,54,Summer,244,244,232,-12
Oak Street,Gemini Link Tote,Metallic,Pebbled Leather,Mini,Guangzhou,48,16,64,Fall,197,216,252,36
El Palacio de Hierro (Polanco),Gemini Link Tote,Purple,Pebbled Leather,Small,Ho Chi Minh City,48,16,64,Winter,128,102,134,32
Yorkdale Shopping Centre,Kira Chevron Tote,Green,Jacquard,Mini,Da Nang,44,15,59,Winter,242,193,60,-133
South Coast Plaza,Britten Tote,Red,Leather,Medium,Shenzhen,50,18,68,Spring,156,187,60,-127
Bal Harbour Shops,Kira Chevron Tote,Pink,Coated Canvas,Medium,Ho Chi Minh City,44,15,59,Summer,275,275,182,-93
Madison Avenue,Kira Chevron Tote,Green,Jacquard,Medium,Guangzhou,43,15,58,Fall,165,181,225,44
South Coast Plaza,Britten Tote,Multi,Leather,Large,Da Nang,46,17,63,Summer,236,236,52,-184
Bal Harbour Shops,Robinson Tote,Red,Leather,Mini,Da Nang,43,18,61,Summer,275,275,324,49
El Palacio de Hierro (Santa Fe),Robinson Tote,Pink,Coated Canvas,Large,Da Nang,44,16,60,Summer,110,110,152,42
Madison Avenue,Kira Chevron Tote,Brown,Jacquard,Small,Shenzhen,32,18,50,Winter,238,190,175,-15
NorthPark Center,Robinson Tote,Red,Canvas,Mini,Guangzhou,40,15,55,Winter,51,40,86,46
Yorkdale Shopping Centre,Ella Tote,Brown,Canvas,Medium,Hanoi,49,16,65,Spring,103,123,103,-20
Pacific Centre,McGraw Tote,Brown,Pebbled Leather,Small,Shenzhen,42,16,58,Winter,125,100,127,27
Rodeo Drive,McGraw Tote,Metallic,Canvas,Mini,Hanoi,45,18,63,Winter,256,204,51,-153
Yorkdale Shopping Centre,Kira Chevron Tote,Red,Pebbled Leather,Medium,Da Nang,35,17,52,Spring,72,86,73,-13
Rodeo Drive,Kira Chevron Tote,Purple,Leather,Large,Guangzhou,34,14,48,Fall,293,322,76,-246
San Francisco Centre,Gemini Link Tote,Black,Pebbled Leather,Large,Guangzhou,32,16,48,Winter,115,92,114,22
El Palacio de Hierro (Polanco),McGraw Tote,Brown,Canvas,Mini,Ho Chi Minh City,38,18,56,Winter,84,67,38,-29
El Palacio de Hierro (Polanco),T Monogram Tote,Metallic,Leather,Medium,Guangzhou,36,18,54,Fall,166,182,200,18
Westfield World Trade Center,McGraw Tote,Metallic,Pebbled Leather,Large,Da Nang,30,15,45,Summer,155,155,192,37
Madison Avenue,T Monogram Tote,Gray,Coated Canvas,Small,Shenzhen,38,16,54,Spring,249,298,127,-171
South Coast Plaza,T Monogram Tote,Blue,Leather,Mini,Shenzhen,43,14,57,Summer,247,247,123,-124
Aventura Mall,T Monogram Tote,White,Canvas,Mini,Hanoi,39,17,56,Spring,152,182,30,-152
Aventura Mall,Gemini Link Tote,Blue,Coated Canvas,Small,Ho Chi Minh City,34,16,50,Winter,58,46,4,-42
Madison Avenue,Ella Tote,Beige,Coated Canvas,Medium,Da Nang,47,18,65,Summer,85,85,63,-22
Pacific Centre,Ella Tote,Blue,Coated Canvas,Large,Hanoi,36,14,50,Summer,149,149,16,-133
Rodeo Drive,Britten Tote,Brown,Canvas,Medium,Da Nang,41,14,55,Fall,239,262,8,-254
Westfield World Trade Center,Kira Chevron Tote,White,Jacquard,Large,Guangzhou,36,16,52,Winter,273,218,145,-73
Yorkdale Shopping Centre,McGraw Tote,Beige,Canvas,Large,Da Nang,39,17,56,Spring,171,205,224,19
Aventura Mall,Perry Tote,Multi,Jacquard,Mini,Hanoi,40,14,54,Fall,63,69,54,-15
El Palacio de Hierro (Santa Fe),T Monogram Tote,Purple,Coated Canvas,Large,Guangzhou,33,14,47,Summer,164,164,164,0
Aventura Mall,Robinson Tote,Multi,Canvas,Large,Guangzhou,33,18,51,Fall,72,79,77,-2
Pacific Centre,Britten Tote,Red,Jacquard,Large,Ho Chi Minh City,41,17,58,Fall,169,185,81,-104
Soho,McGraw Tote,Multi,Leather,Mini,Ho Chi Minh City,37,15,52,Spring,286,343,252,-91
San Francisco Centre,Robinson Tote,Blue,Pebbled Leather,Large,Ho Chi Minh City,46,17,63,Spring,131,157,43,-114
Rodeo Drive,McGraw Tote,Yellow,Canvas,Large,Shenzhen,40,17,57,Summer,165,165,111,-54
Bal Harbour Shops,Kira Chevron Tote,Brown,Leather,Small,Ho Chi Minh City,46,17,63,Summer,247,247,15,-232
Soho,Gemini Link Tote,Purple,Pebbled Leather,Medium,Shenzhen,39,16,55,Summer,91,91,28,-63
Madison Avenue,Perry Tote,Blue,Leather,Large,Shenzhen,35,15,50,Winter,138,110,83,-27
Rodeo Drive,McGraw Tote,Metallic,Jacquard,Small,Da Nang,36,14,50,Spring,75,90,55,-35
Rodeo Drive,Perry Tote,Metallic,Coated Canvas,Medium,Da Nang,40,15,55,Winter,214,171,40,-131
NorthPark Center,Perry Tote,Black,Pebbled Leather,Small,Shenzhen,39,14,53,Winter,230,184,2,-182
Rodeo Drive,Gemini Link Tote,Pink,Pebbled Leather,Mini,Hanoi,36,17,53,Fall,57,62,34,-28
El Palacio de Hierro (Santa Fe),Perry Tote,White,Pebbled Leather,Mini,Da Nang,48,18,66,Summer,160,160,173,13
Rodeo Drive,T Monogram Tote,Blue,Pebbled Leather,Large,Da Nang,35,15,50,Spring,67,80,9,-71
Pacific Centre,Gemini Link Tote,Multi,Leather,Medium,Ho Chi Minh City,41,18,59,Winter,269,215,263,48
Soho,Kira Chevron Tote,Yellow,Coated Canvas,Medium,Shenzhen,45,18,63,Summer,95,95,74,-21
Yorkdale Shopping Centre,Perry Tote,Metallic,Jacquard,Large,Shenzhen,42,14,56,Summer,93,93,70,-23
Rodeo Drive,Britten Tote,White,Pebbled Leather,Large,Ho Chi Minh City,50,17,67,Fall,285,313,289,-24
Rodeo Drive,T Monogram Tote,Gray,Leather,Small,Shenzhen,50,14,64,Fall,51,56,70,14
